Unnamed: 0,Tweets,Created_At,Locations,Clean Tweets
0,"RT @Ian_Fraser: Devastating @thesundaytimes indictment of Johnson's handling of the coronavirus crisis, including a description of how, in…",2020-05-24 23:59:59,,_Fraser Devastating indictment of Johnson s handling of the coronavirus crisis including a description of how in 
1,"RT @catturd2: Let’s face it ...

The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an…",2020-05-24 23:59:59,United States, Let s face it The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an 
2,"RT @frank4maga1: US Big Tech Aiding Blacklisted Chinese Surveillance Firms, Report Says

https://t.co/2kSQpwQnYm

Download The Epoch Times…",2020-05-24 23:59:59,,maga US Big Tech Aiding Blacklisted Chinese Surveillance Firms Report Says Download The Epoch Times 
3,"RT @TeaPainUSA: This strategy is gonna look really stupid in 2 more weeks.

https://t.co/GcbfqC1sDS",2020-05-24 23:59:59,"St. Louis, Missouri", This strategy is gonna look really stupid in more weeks 
4,"RT @MichaelDadiego: Cuomo Attempts to DEFLECT Blame of Deadly Nursing Home Coronavirus Debacle on to Trump. ANDY, U can fool the law on Ear…",2020-05-24 23:59:59,, Cuomo Attempts to DEFLECT Blame of Deadly Nursing Home Coronavirus Debacle on to Trump ANDY U can fool the law on Ear 
5,"@edubbsmom @chris_obi_one @stoolpresidente Gun shot victims counted as WA COVID deaths, used by Governor to extend… https://t.co/Y4cSiRy3dt",2020-05-24 23:59:59,"San Diego, CA", _obi_one Gun shot victims counted as WA COVID deaths used by Governor to extend 
6,RT @CDCgov: Be mindful of social distancing this #MemorialDay weekend. Stay at least six feet from others to slow the spread of #COVID19. I…,2020-05-24 23:59:59,, Be mindful of social distancing this MemorialDay weekend Stay at least six feet from others to slow the spread of COVID I 
7,Coronavirus: UK Government gives 'close-contact' and 'competitive' training go-ahead for sport https://t.co/JzVVq3QBMZ via @SkySports,2020-05-24 23:59:59,Tokyo,Coronavirus UK Government gives close contact and competitive training go ahead for sport via 
8,Rally calling for N.J. to reopen from coronavirus restrictions set for Jersey Shore town Monday https://t.co/LwboEQ1x66,2020-05-24 23:59:59,"New Jersey, USA",Rally calling for N J to reopen from coronavirus restrictions set for Jersey Shore town Monday 
9,RT @realTuckFrumper: Two Missouri Hairdressers Working With Coronavirus Symptoms Potentially Exposed 140 Clients https://t.co/nU2UMpibLe,2020-05-24 23:59:59,Native Texan, Two Missouri Hairdressers Working With Coronavirus Symptoms Potentially Exposed Clients 
10,"RT @sltrib: Even though no new Utah #coronavirus deaths were reported Sunday, the state had its worst week yet in terms of both deaths and…",2020-05-24 23:59:59,, Even though no new Utah coronavirus deaths were reported Sunday the state had its worst week yet in terms of both deaths and 
11,"RT @fred_guttenberg: Leave your house for a haircut, return home with coronavirus and a possible death sentence.  Welcome to America under…",2020-05-24 23:59:59,chi-town,_guttenberg Leave your house for a haircut return home with coronavirus and a possible death sentence Welcome to America under 
12,RT @mugecevik: The story is a little more complicated than “stay 6 feet away” guidelines. Coronavirus risk is simply not one-dimensional. W…,2020-05-24 23:59:58,"Crawfordsville, IN", The story is a little more complicated than stay feet away guidelines Coronavirus risk is simply not one dimensional W 
13,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:58,Texas, Luckily the average CoronaVirus is two inches wide 
14,RT @souljaguac: coronavirus getting ready for wave 2 rn https://t.co/6eYuaSvYxt,2020-05-24 23:59:58,"Seattle, WA", coronavirus getting ready for wave rn 
15,"RT @Slausongirlnews: Nathan Murray, the third owner of Bernard Burgers closes his doors after 52 years in South Central. - “I didn’t get a…",2020-05-24 23:59:58,"Chicago, IL", Nathan Murray the third owner of Bernard Burgers closes his doors after years in South Central I didn t get a 
16,"RT @Telegraph: Between political implosion and a virus out of control, Jair Bolsonaro faces the prospect of becoming known as the man who b…",2020-05-24 23:59:58,Rio de Janeiro, Between political implosion and a virus out of control Jair Bolsonaro faces the prospect of becoming known as the man who b 
17,RT @Inevitable_ET: @maxbaker_15 If you’re worried about contracting coronavirus just stay home. Don’t worry about other people who are enjo…,2020-05-24 23:59:58,,_ET _ If you re worried about contracting coronavirus just stay home Don t worry about other people who are enjo 
18,@tuck_francis @charles_kinbote This is me and Dunkirk except instead of Coronavirus it was my pride,2020-05-24 23:59:58,H2NOWHERE,_francis _kinbote This is me and Dunkirk except instead of Coronavirus it was my pride
19,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:58,United Kingdom, Luckily the average CoronaVirus is two inches wide 
20,RT @MaryRedden1: Scientists believe cannabis could help prevent and treat coronavirus https://t.co/aN9Y4XXI5S via @nypost,2020-05-24 23:59:58,"California, USA", Scientists believe cannabis could help prevent and treat coronavirus via 
21,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:57,"Victoria, TX", Luckily the average CoronaVirus is two inches wide 
22,RT @Breaking911: BREAKING: President Trump issues travel ban on Brazil due to coronavirus,2020-05-24 23:59:57,"Alexandria, Egypt", BREAKING President Trump issues travel ban on Brazil due to coronavirus
23,RT @TheLastWord: Soldiers in the National Guard were promised benefits under the GI bill after serving 90 days in support of coronavirus re…,2020-05-24 23:59:57,"Philadelphia, PA", Soldiers in the National Guard were promised benefits under the GI bill after serving days in support of coronavirus re 
24,"RT @ReicherStephen: It is very hard to provide scientific advice to a government which doesn't want to listen to science. I hope, however,…",2020-05-24 23:59:57,"Hong Kong, Beckenham", It is very hard to provide scientific advice to a government which doesn t want to listen to science I hope however 
25,RT @2020Qanon: Modeling shows coronavirus pandemic in US could be over by November https://t.co/ws1VEsqITB via @MailOnline,2020-05-24 23:59:57,, Qanon Modeling shows coronavirus pandemic in US could be over by November via 
26,"RT @Number10cat: Given the Prime Minister and his government can no longer be relied upon to say this, I will:

If you suspect that you or…",2020-05-24 23:59:57,43°37′01″N 3°09′35″E,cat Given the Prime Minister and his government can no longer be relied upon to say this I will If you suspect that you or 
27,"RT @nytimes: 100,000.

As the U.S. approaches this grim milestone, we're remembering those who have died from the coronavirus.

Imagine a c…",2020-05-24 23:59:57,, As the U S approaches this grim milestone we re remembering those who have died from the coronavirus Imagine a c 
28,"RT @peterjukes: So many stories of loss, bereavement at a distance, one parent families coping alone. I’m really sorry if my RTs seem callo…",2020-05-24 23:59:57,, So many stories of loss bereavement at a distance one parent families coping alone I m really sorry if my RTs seem callo 
29,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:57,, Luckily the average CoronaVirus is two inches wide 
30,"RT @JeffreyGoldberg: ""That number—100,000 dead from the coronavirus—is hard to grasp. For those who have lost someone, the pandemic’s scope…",2020-05-24 23:59:57,, That number dead from the coronavirus is hard to grasp For those who have lost someone the pandemic s scope 
