,text,created_at,Location
0,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:59,United States
1,"RT @latimesharriet: “That’s a problem,” says the former state epidemiologist. Me and @kierafeldman https://t.co/RuwrvlmR9A",2020-06-14 23:59:59,
2,"Tokyo reports jump in coronavirus cases, many linked to nightclubs https://t.co/TQNdT3fiLB",2020-06-14 23:59:59,Singapore
3,"juneteenth.
[first trump rally since coronavirus was something the administration started to take seriously. ]

now… https://t.co/WEnfnxONGs",2020-06-14 23:59:59,"South Orange, NJ"
4,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:59,Trinidad and Tobago
5,"With an ever-growing array of hotel cleaning programs launched in response to coronavirus, a governing body may be… https://t.co/eCmHxokNss",2020-06-14 23:59:59,"New York City, NY"
6,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:59,
7,RT @cinderellaicius: I am in the hospital with my heart. I have permanent damage from having Coronavirus in March. I want to be at the prot…,2020-06-14 23:59:59,United States
8,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:59,
9,RT @AFP: A retirement home in Brazil has come up with a creative solution to allow friends and families to enjoy personal contact with agin…,2020-06-14 23:59:59,somewhere (over the rainbow)
10,RT @PippaCrerar: ⁦Former chief prosecutor ⁦@nazirafzal⁩ - whose brother Umar died from coronavirus in April while Dominic Cummings was 260…,2020-06-14 23:59:58,Somewhere in South East UK
11,"RT @funder: President Obama called Trump’s coronavirus response ""an absolute chaotic disaster.” #ObamaDayUSA",2020-06-14 23:59:58,Maryland USA
12,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:58,"Virginia, USA"
13,"RT @DrEricDing: 2) “We analyzed 3,184 cases of coronavirus disease in Japan and identified 61 case-clusters in healthcare facilities, resta…",2020-06-14 23:59:58,Right behind you :)
14,RT @ewarren: Remember: Steve Mnuchin is refusing to disclose which companies received more than $500 billion in taxpayer funds. Americans d…,2020-06-14 23:59:58,"Charlottesville, VA"
15,"RT @JoyaMia00: No COVID19 concerns here. 

#LiberalHypocrisy 
#DemocratsAreDestroyingAmerica https://t.co/TspoqvEo0M",2020-06-14 23:59:58,Arizona
16,"RT @Cairo67Unedited: A disaster is unfolding in a village of 46000 called Dernka, near Asyut, to the south of Luxor. 
For the past 21-26 #E…",2020-06-14 23:59:58,USA
17,RT @MspdcaliKag: Fauci told CNN on Friday increases in cases in several states were “NOT” necessarily indicative of a “second spike” of inf…,2020-06-14 23:59:58,United States
18,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:58,Chicago illinois 
19,RT @LionelMedia: I believe absolutely nothing that’s reported about coronavirus. Absolutely nothing. You could tell me the numbers are goin…,2020-06-14 23:59:58,"Eugene, OR"
20,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:58,
21,RT @Gothamist: Gov. Andrew Cuomo put Manhattan and the Hamptons on blast for getting the most complaints for businesses not following reope…,2020-06-14 23:59:58,
22,"RT @mattlargey: BREAKING: The Austin area saw a record 30 hospital admissions today for #COVID19. 

That moves the 7-day average above 20 a…",2020-06-14 23:59:57,
23,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:57,"New York, NY"
24,"RT @Erinys: The reason I wear masks in public? Every day, I know I could be that asymptomatic carrier. I can’t make the world risk free, bu…",2020-06-14 23:59:57,Vancity Canada
25,RT @DrEricDing: My earlier worst fears confirmed: Younger adults were the main source of 61 different outbreak clusters in Japan. In this s…,2020-06-14 23:59:57,"Portland, Oregon, USA"
26,"As much as everyone wants the economy to come back, it will, but at a very slow pace in 2020 until there is a vacci… https://t.co/97ELJuTMgT",2020-06-14 23:59:57,"Bethesda, Maryland"
27,@HenryLWilson1 You are definitely bold. I possess a more cynical mindset and doubt that bridge will have been cross… https://t.co/4Qjd4d0gsC,2020-06-14 23:59:57,"Oklahoma, USA"
28,"RT @SlicedWrestling: Did you know?

The partitions set up in front of the crowd isn't there to stop the spread of Coronavirus, it's there t…",2020-06-14 23:59:57,Las Vegas 
29,"RT @CNN: The US Surgeon General urged people to wear face coverings, saying they promote freedom during the coronavirus pandemic: ""If more…",2020-06-14 23:59:57,"Toronto, Canada"
30,RT @NickKristof: Did women leaders handle Covid-19 better than male leaders? I crunched data &amp; found that the death rate in female-led nati…,2020-06-14 23:59:56,United States
31,RT @latimes: Two long-haul flights into Los Angeles International Airport in March each included a person who later was found to have COVID…,2020-06-14 23:59:56,
32,"RT @KHOU: Houston, Harris County doctors see 'a disturbing increase' in number of hospitalizations of COVID-19 patients https://t.co/0KGVqH…",2020-06-14 23:59:56,
33,"RT @TheWitchesSpell: Foods to help boost your immune system:

- Lemons 
- Oranges 
- Grapefruit
- Blueberries
- Broccoli  
- Spinach
- Almo…",2020-06-14 23:59:56,The City 
34,"How Vaccines are made. To aise banta hai vaccine https://t.co/SFvhuQaXiR via @YouTube 

#VaccinesWork #COVID19… https://t.co/jUAgvmVrR6",2020-06-14 23:59:56,
35,RT @Telegraph: A man has filed the first lawsuit against the Chinese government that seeks restitution for its cover-up of the coronavirus…,2020-06-14 23:59:55,Hong Kong
36,if u use 3-in-1 ur immune to the coronavirus,2020-06-14 23:59:55,BLM
37,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:55,"Key West, FL"
38,"RT @SlicedWrestling: Did you know?

The partitions set up in front of the crowd isn't there to stop the spread of Coronavirus, it's there t…",2020-06-14 23:59:55,United Kingdom
39,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:55,"Sidney, MT"
40,RT @LynnGilmartin: @DanOBrienPoker This is a reliable resource that’s updated daily. It compares US states (click on each state on the heat…,2020-06-14 23:59:55,Las Vegas
41,"@And__Ark He has the US at 15m now.  2m in mid-late March. 

https://t.co/WxvJDyTYN4",2020-06-14 23:59:54,"Downtown Saint Louis, MO"
42,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:54,
43,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:54,
44,"RT @DFSMQM: Today's illegal jirga in Karachi manifests that Karachi's urbanization at the best is ruralisation,tribalisation and povertisat…",2020-06-14 23:59:54,
45,"RT @RichardBurgon: Three years on from Grenfell,  thousands still live in homes with unsafe cladding.

We live in the 6th largest economy i…",2020-06-14 23:59:54,
46,"RT @CNN: The US Surgeon General urged people to wear face coverings, saying they promote freedom during the coronavirus pandemic: ""If more…",2020-06-14 23:59:54,The Bat Cave
47,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:54,Chicagoland/Northwest Indiana
48,RT @perlmutations: Remember when it used to matter how many Americans were dying from the coronavirus? There’s so much shit swirling around…,2020-06-14 23:59:54,
49,"RT @GrahamAllen_1: BREAKING:

@realDonaldTrump just passed 800,000 tickets for his first rally back since COVID19!

Biggest numbers by 10x!…",2020-06-14 23:59:54,
50,"RT @An0nAKn0wledge: With 2,581 new coronavirus cases, Florida hits a record high for the third day in a row:
https://t.co/xS4Uv8s5va",2020-06-14 23:59:54,
51,RT @CLSports: Ole Miss ranks last in SEC in college football recruiting. Lane Kiffin explains his dilemma https://t.co/vSIitUTSHr https://t…,2020-06-14 23:59:54,"West Jackson, MS"
52,"RT @MarkLevineNYC: New York City is clearly ready to be done with coronavirus.

But careful: coronavirus is not done with us yet.",2020-06-14 23:59:54,"New York, NY"
53,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:53,"Houston, TX"
54,"RT @LotusOak2: The Italian Society for Rheumatology studied 65,000 patients on longterm hydroxychloroquine for RA and Lupus.

Only 20 patie…",2020-06-14 23:59:53,
55,"RT @DSD_GHS: Ghana's COVID-19 Cases stand at 11,964 as at 13th June, 2020.
Visit https://t.co/IW9gCmy3wm for details.

#covid_19 #covid19 #…",2020-06-14 23:59:53,"Kasoa, Ghana"
56,RT @DrEricDing: My earlier worst fears confirmed: Younger adults were the main source of 61 different outbreak clusters in Japan. In this s…,2020-06-14 23:59:53,Right behind you :)
57,RT @CNBC: Asia stocks set to slip as virus fears resurface; China's industrial production data ahead https://t.co/KcLZuaXjXy,2020-06-14 23:59:53,Gunter Texas
58,"RT @uchiwafangirl: ARASHI INSTASTORY
2020.06.14

Today was the last class for Waku Waku Gakkou Online. And also the last in the series of I…",2020-06-14 23:59:52,"Roppongi,Tokyo"
59,RT @allieyoung13: The death toll on #NavajoNation has reached 298 due to #COVID19. That’s 298 Navajo lives including 5 Medicine People gone…,2020-06-14 23:59:52,"Los Angeles, CA"
60,WHO warns England's lockdown should not be lifted further without improved test and trace system https://t.co/3czyft8Q79,2020-06-14 23:59:52,"London, England"
61,"RT @GovMikeDeWine: As in-person religious services begin to resume across #Ohio, here are some recommendations to help keep congregants saf…",2020-06-14 23:59:52,Ohio
62,Dining out Coronavirus Safe https://t.co/9TbduUmmTI,2020-06-14 23:59:52,At home
63,"RT @ThePlumLineGS: Unreal.

""There is ample reason to tie the latest surge of infections to relatively early reopenings...Most of the 10 ha…",2020-06-14 23:59:52,"Seattle, WA"
64,"RT @ClayTravis: Worth noting, roughly 7200 people died in the United States today of something other than the coronavirus. That means 95% o…",2020-06-14 23:59:52,"Lenexa, KS"
65,"RT @biannagolodryga: Kudlow to @jaketapper: “Hospitalizations may be going up but that’s because elected procedures are now permitted.” 

T…",2020-06-14 23:59:52,"Georgia, USA"
66,RT @guardian: Coronavirus Australia update: Andrews to address explosive allegations of branch-stacking by Victorian MP – politics live htt…,2020-06-14 23:59:52,Brazil
67,RT @cinderellaicius: I am in the hospital with my heart. I have permanent damage from having Coronavirus in March. I want to be at the prot…,2020-06-14 23:59:52,"Georgia, USA"
68,RT @godfree: This is America. https://t.co/AWqkidmUPV,2020-06-14 23:59:51,"Ohio, USA"
69,"RT @MartinHeinrich: It’s not political. It’s called science. Protect yourself and others.

https://t.co/UFTmxWmoif",2020-06-14 23:59:51,New Mexico
70,RT @NPR: Rebekah Jones says she was fired from her job at the Florida Health Department for refusing to manipulate data on its coronavirus…,2020-06-14 23:59:51,"Pittsburgh, PA"
71,"RT @revathitweets: FOUR security guards, ONE dog- the only occupants of the world famous 1500 bed #TIMS hospital inaugurated to fight back…",2020-06-14 23:59:51,"Hyderabad, India"
