created_at,text,user,Clean Tweets,Location,Subjectivity,Polarity,Analysis
2020-05-26,"RT @BlakeDontCrack: Having a family member incarcerated at a prison that has an outbreak of COVID-19 is a sickening, helpless feeling. A fe…","{'id': 1250215634975129602, 'id_str': '1250215634975129602', 'name': 'Nimrah Aslam', 'screen_name': 'nimrah_aslam', 'location': None, 'url': None, 'description': 'Khuda Jaane. she/hers. qwoc.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 4, 'friends_count': 41, 'listed_count': 0, 'favourites_count': 468, 'statuses_count': 43, 'created_at': 'Wed Apr 15 00:13:37 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1254905233030778882/KJzFQUmn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1254905233030778882/KJzFQUmn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1250215634975129602/1588483152', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Having a family member incarcerated at a prison that has an outbreak of COVID is a sickening helpless feeling A fe ,,1.0,-0.9,Negative
2020-05-26,"RT @SreenivasanJain: Arrest activists for role in anti-CAA protests.

When granted bail for lack of evidence, re-arrest on escalating charg…","{'id': 770925484406411264, 'id_str': '770925484406411264', 'name': 'Sumit Sangwan', 'screen_name': 'Sumit_Sangwan18', 'location': 'Uttar Pradesh, India', 'url': 'https://www.youtube.com/channel/UCUELZOu1uFbakhim30vBMrA', 'description': ""Proud Indian | Gandhi in Heart | Supports @RahulGandhi, @PriyankaGandhi, @RGWayanadOffice & @INCIndia | United Opposition | RT's≠Endorsement."", 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 843, 'friends_count': 3271, 'listed_count': 1, 'favourites_count': 206684, 'statuses_count': 208525, 'created_at': 'Wed Aug 31 10:05:33 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1222956203006840832/HRdIh8c8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1222956203006840832/HRdIh8c8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/770925484406411264/1579542753', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Arrest activists for role in anti CAA protests When granted bail for lack of evidence re arrest on escalating charg ,"Uttar Pradesh, India",0.0,-0.05,Negative
2020-05-26,"RT @KTHopkins: What a vulgar-Gina 

You small, sad woman @thatginamiller https://t.co/WmxlPL4boe","{'id': 1207293863888670720, 'id_str': '1207293863888670720', 'name': 'Enoch Thatcher-Rand-Hayek', 'screen_name': 'RandEnoch', 'location': None, 'url': None, 'description': 'Hate Cultural Marxism. Love free market capitalism.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1191, 'friends_count': 478, 'listed_count': 11, 'favourites_count': 3, 'statuses_count': 29539, 'created_at': 'Wed Dec 18 13:38:19 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1207294530506153984/8YaMrNSm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1207294530506153984/8YaMrNSm_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", What a vulgar Gina You small sad woman ,,0.73,-0.48,Negative
2020-05-26,You are an idiot! Your MBBS is a waste! Read the book: The plague of Corruption! How did we get here? Educated peop… https://t.co/UHHJqUzbxe,"{'id': 771275374084907008, 'id_str': '771275374084907008', 'name': 'Bakma# Covfefe.', 'screen_name': 'Elijahanoiting2', 'location': 'Abuja, Washington D.C.', 'url': None, 'description': 'Opposition to Luciferian takeover and the Foul ways of Feminism and Championing Righteousness & Heralding the presence of Christ Jesus. Founder Elijah Projects.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 365, 'friends_count': 1083, 'listed_count': 4, 'favourites_count': 3390, 'statuses_count': 7266, 'created_at': 'Thu Sep 01 09:15:53 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1251896336238227456/K7hYokkW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1251896336238227456/K7hYokkW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/771275374084907008/1587134719', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",You are an idiot Your MBBS is a waste Read the book The plague of Corruption How did we get here Educated peop ,"Abuja, Washington D.C.",0.4,-0.5,Negative
2020-05-26,RT @David_K_Clark: It should be noted that this Government has now spent an entire three days fighting the truth instead of fighting corona…,"{'id': 1240060928164577281, 'id_str': '1240060928164577281', 'name': 'MiaMio76', 'screen_name': 'MMio76', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 8, 'friends_count': 142, 'listed_count': 0, 'favourites_count': 13, 'statuses_count': 701, 'created_at': 'Tue Mar 17 23:42:32 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1240061243920187393/XRDPUoNt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1240061243920187393/XRDPUoNt_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",_K_Clark It should be noted that this Government has now spent an entire three days fighting the truth instead of fighting corona ,,0.36,-0.05,Negative
2020-05-26,"RT @ReicherStephen: It is very hard to provide scientific advice to a government which doesn't want to listen to science. I hope, however,…","{'id': 2304759217, 'id_str': '2304759217', 'name': 'Claire', 'screen_name': 'claire_bushe', 'location': 'Hastings, England', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 33, 'friends_count': 211, 'listed_count': 2, 'favourites_count': 1414, 'statuses_count': 238, 'created_at': 'Wed Jan 22 12:13:47 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1109006887448653824/ve1HWH4O_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1109006887448653824/ve1HWH4O_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", It is very hard to provide scientific advice to a government which doesn t want to listen to science I hope however ,"Hastings, England",0.7,-0.38,Negative
2020-05-26,"RT @lesleys20: This is mad. Rather than writing about CV last year, DM added reference to coronavirus to his blog the day he came back from…","{'id': 560253079, 'id_str': '560253079', 'name': 'Karin Eliot', 'screen_name': 'KarinEliot', 'location': 'Aberdeen, Scotland', 'url': None, 'description': 'People around, gotta find something to say now. Scottish. Anti-nuke. Actual vagina-owning woman. Small-g green. Now ex-lurker, because silence is too dangerous.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 49, 'friends_count': 200, 'listed_count': 0, 'favourites_count': 305, 'statuses_count': 1546, 'created_at': 'Sun Apr 22 12:13:34 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2156021936/karineliot_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2156021936/karineliot_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/560253079/1589016333', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", This is mad Rather than writing about CV last year DM added reference to coronavirus to his blog the day he came back from ,"Aberdeen, Scotland",0.36,-0.21,Negative
2020-05-26,RT @RealJamesWoods: Elderly people vote Republican by a wide margin statistically. #FactsAreFriendly,"{'id': 16832358, 'id_str': '16832358', 'name': 'Carolyn Evans Gish', 'screen_name': 'crgish', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 118, 'friends_count': 310, 'listed_count': 0, 'favourites_count': 8899, 'statuses_count': 2485, 'created_at': 'Fri Oct 17 22:43:10 +0000 2008', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '8B542B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme8/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme8/bg.gif', 'profile_background_tile': False, 'profile_link_color': '9D582E', 'profile_sidebar_border_color': 'D9B17E', 'profile_sidebar_fill_color': 'EADEAA', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/659247073/Carolyn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/659247073/Carolyn_normal.jpg', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Elderly people vote Republican by a wide margin statistically FactsAreFriendly,,0.4,-0.1,Negative
2020-05-26,"RT @farnazfassihi: In case you were wondering how Sweden's experiment  went with not shutting down, not closing schools, etc.. https://t.co…","{'id': 110326500, 'id_str': '110326500', 'name': 'Christin #RESIST n', 'screen_name': 'Christin210', 'location': None, 'url': None, 'description': 'MA needs PPEs!\n\n\nSurvivor 2020:\nDems and Repubs align for one vote - @joebiden.\nWe combine for The Rule of Law.\n\n#BlueTsunami\nI swear a lot.\nMasshole.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 3253, 'friends_count': 5001, 'listed_count': 1, 'favourites_count': 62112, 'statuses_count': 88675, 'created_at': 'Mon Feb 01 04:33:45 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'EDECE9', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_tile': False, 'profile_link_color': '088253', 'profile_sidebar_border_color': 'D3D2CF', 'profile_sidebar_fill_color': 'E3E2DE', 'profile_text_color': '634047', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1184618558128623616/gG0-Fnpc_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1184618558128623616/gG0-Fnpc_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/110326500/1571269707', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", In case you were wondering how Sweden s experiment went with not shutting down not closing schools etc ,,0.29,-0.16,Negative
2020-05-26,RT @PirateMulwana: Dont miss out on the online discusion this Thursday 28th (12pm-2pm) via Zoom on an online Round table in relation to how…,"{'id': 957017357288968192, 'id_str': '957017357288968192', 'name': 'LoneChild👼🏽', 'screen_name': 'LoneChildMJB', 'location': 'Kampala, Uganda', 'url': None, 'description': 'ARSENAL❤️Chronixx ❤️ETANA❤️I Am unapologetically Me || Humor|| DM for business 🙏🏻😀I am destined for greatness ||proverbs 16:3', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 14091, 'friends_count': 4929, 'listed_count': 10, 'favourites_count': 45047, 'statuses_count': 84711, 'created_at': 'Fri Jan 26 22:28:13 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1263589027493507074/eIAoQKUX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1263589027493507074/eIAoQKUX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/957017357288968192/1555973587', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Dont miss out on the online discusion this Thursday th pm pm via Zoom on an online Round table in relation to how ,"Kampala, Uganda",0.4,-0.2,Negative
