,text,created_at,Location
0,RT @teresabewsey5: @MaryJoe38642126 @TheSun PLEASE REPORT THAT CHINA SHOULD BAN THE #WET #MARKETS AND #YULIN ALSO #DOG &amp; #CAT #MEAT TRADE.…,2020-06-16 23:59:59,Brazil
1,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…",2020-06-16 23:59:59,
2,RT @exoticgamora: 260 workers at an 'unnamed' Central Florida airport have tested positive for coronavirus after nearly 500 employees were…,2020-06-16 23:59:59,Btwn. Mpls. and St. Cloud
3,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…",2020-06-16 23:59:59,
4,RT @PeterHotez: This is not from expanded testing. The rise in #Houston #COVID19 cases is linked to an acceleration in hospitalizations htt…,2020-06-16 23:59:59,"Atlanta, GA"
5,"RT @kr3at: New York reports 1 new case and 2 new deaths bringing total confirmed cases there to 405,782 and 30,998 total deaths, with 643 n…",2020-06-16 23:59:59,"California, USA"
6,RT @rodney_kun: The multivitamin gummies i ate as a kid escorting the coronavirus out my body https://t.co/qJiPeBGuzh,2020-06-16 23:59:59,
7,RT @adamcbest: Greg Abbott never took coronavirus seriously enough and rushed reopening Texas. Now he wants to scold young people for follo…,2020-06-16 23:59:59,"Yeehawville, USA"
8,RT @TannerTrue: EITHER YOU’RE ON LOCKDOWN OR YOU ARENT. This is ridiculous. FOR THE RECORD: THERE IS STILL NO CURE NOR VACCINE FOR CORONAVI…,2020-06-16 23:59:59,Nowhere USA
9,RT @rweingarten: Tulsa Officials Plead for Trump to Cancel Rally As Virus Spikes in Oklahoma  https://t.co/ABUup6eRRR,2020-06-16 23:59:59,Vermont
10,"RT @RepDonBeyer: In late February, then acting White House Chief of Staff Mick Mulvaney gave public comments playing down the seriousness o…",2020-06-16 23:59:59,Antarctica
11,"RT @andrewkeh: Sports leagues around the world are using, or plan to use, fake crowd noise on TV to mask the sounds of empty stadiums. Some…",2020-06-16 23:59:59,New York
12,RT @Reuters: Show me the data: U.S. doctors skeptical of reported COVID breakthrough https://t.co/WkuQFJnSoi https://t.co/SWFiyd6hO6,2020-06-16 23:59:59,United Kingdom
13,RT @jimcombs: Dr. Sanjay Gupta: Trump Rally Is ‘Worst-Case Scenario’ For Spreading Coronavirus https://t.co/lp1N0OT9oO,2020-06-16 23:59:58,This Place Called Earth
14,"RT @everywhereist: Coronavirus isn't over just because you are tired of hearing about it.

Ditto for white supremacy and racism.",2020-06-16 23:59:58,
