created_at,text,user,Clean Tweets,Location,Subjectivity,Polarity,Analysis
2020-05-26,RT @infitahnatasha: Lucky PATI in Malaysia. You won't get this kind of treatment in other countries. Esp US. They will deport you straight…,"{'id': 1225265019908055040, 'id_str': '1225265019908055040', 'name': 'Lutfi Bran', 'screen_name': 'LutfiBran', 'location': None, 'url': None, 'description': 'Coffee & Computers & Politics | True moderate — On a scale of 1 to 10 I take 5', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 25, 'friends_count': 169, 'listed_count': 1, 'favourites_count': 2278, 'statuses_count': 2941, 'created_at': 'Thu Feb 06 03:48:52 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1232494457263554566/_Mu1t3Cd_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1232494457263554566/_Mu1t3Cd_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1225265019908055040/1584279805', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Lucky PATI in Malaysia You won t get this kind of treatment in other countries Esp US They will deport you straight ,,0.63,0.25,Positive
2020-05-26,"RT @wolfblitzer: There were 11 confirmed U.S. coronavirus deaths on March 5. Now, not even 3 months later, we're approaching 100,000. These…","{'id': 1852344356, 'id_str': '1852344356', 'name': 'Isabelle Flaherty', 'screen_name': 'FlahertyBella', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 183, 'friends_count': 303, 'listed_count': 1, 'favourites_count': 51567, 'statuses_count': 36625, 'created_at': 'Tue Sep 10 19:42:18 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/644199426072772608/DKnDz3dW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/644199426072772608/DKnDz3dW_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", There were confirmed U S coronavirus deaths on March Now not even months later we re approaching These ,,0.33,0.13,Positive
2020-05-26,RT @carolecadwalla: Oh dear. Forget the dubious excursion on his wife’s birthday. Has Dom actually falsified the record of his own intellec…,"{'id': 2921336697, 'id_str': '2921336697', 'name': 'John Ross #FBPE #RejoinEU', 'screen_name': 'johnross77777', 'location': None, 'url': None, 'description': 'UK European 🇬🇧🇪🇺', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 2686, 'friends_count': 3676, 'listed_count': 21, 'favourites_count': 49758, 'statuses_count': 43491, 'created_at': 'Sun Dec 14 13:25:39 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/783803331726741504/dAkZq-WW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/783803331726741504/dAkZq-WW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2921336697/1587296194', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Oh dear Forget the dubious excursion on his wife s birthday Has Dom actually falsified the record of his own intellec ,,0.55,0.3,Positive
2020-05-26,"RT @M600aelSmith: Pic 1 - Adored by the media for leaving their 3 kids all under age 4 on their own, to enjoy a night out, until 1 is gone…","{'id': 310519295, 'id_str': '310519295', 'name': '............🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f', 'screen_name': 'ThfcJeff', 'location': 'United Kingdom', 'url': None, 'description': 'Home and away with my Lad. 💙Tottenham Hotspur.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1645, 'friends_count': 1551, 'listed_count': 20, 'favourites_count': 147, 'statuses_count': 37857, 'created_at': 'Fri Jun 03 22:03:23 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1258648467737583616/vr6V8x1i_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1258648467737583616/vr6V8x1i_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/310519295/1588920154', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",aelSmith Pic Adored by the media for leaving their kids all under age on their own to enjoy a night out until is gone ,United Kingdom,0.75,0.5,Positive
2020-05-26,"RT @DrZweliMkhize: As of today, the total number of confirmed #COVID19 cases in South Africa is 23 615, the total number of deaths is 481 a…","{'id': 568857221, 'id_str': '568857221', 'name': 'KasiPrototype', 'screen_name': 'KasiPrototype', 'location': ""Cape Town  /''V''''''V\\"", 'url': None, 'description': '♥PNG♡', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1170, 'friends_count': 1195, 'listed_count': 7, 'favourites_count': 19028, 'statuses_count': 57276, 'created_at': 'Wed May 02 06:36:11 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '666666', 'profile_sidebar_border_color': '999999', 'profile_sidebar_fill_color': '121212', 'profile_text_color': '990000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1111215512678215681/OGYQW3-s_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1111215512678215681/OGYQW3-s_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/568857221/1421212423', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", As of today the total number of confirmed COVID cases in South Africa is the total number of deaths is a ,Cape Town  /''V''''''V\,0.83,0.13,Positive
2020-05-26,"RT @SportAtStaffs: Join our friends @MatrixFitnessUK  for their live workouts at 07:45, 12:00 and 17:00 today!

https://t.co/8dRcTgy30u

(I…","{'id': 2362704668, 'id_str': '2362704668', 'name': 'Jonathan Pace', 'screen_name': 'JonathanPace09', 'location': 'Stoke-on-Trent', 'url': 'http://www.staffs.ac.uk/teamstaffs', 'description': 'Head of Sport & Active Lifestyles @ Staffordshire University Proud Stokie born and bred', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 814, 'friends_count': 549, 'listed_count': 17, 'favourites_count': 4115, 'statuses_count': 5124, 'created_at': 'Wed Feb 26 13:45:16 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/840277794500288516/0arXfo0D_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/840277794500288516/0arXfo0D_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2362704668/1426250019', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Join our friends for their live workouts at and today I ,Stoke-on-Trent,0.5,0.14,Positive
2020-05-26,"76 more #Covid19 cases in Rajasthan, state tally reaches 7,376

https://t.co/V1csJmeYnO https://t.co/Mh0T8eQcuS","{'id': 36327407, 'id_str': '36327407', 'name': 'Hindustan Times', 'screen_name': 'htTweets', 'location': 'India', 'url': 'http://www.hindustantimes.com', 'description': ""One of India's largest media companies. Latest news from around the world. Retweets are not endorsements"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 7445788, 'friends_count': 127, 'listed_count': 6789, 'favourites_count': 2975, 'statuses_count': 718367, 'created_at': 'Wed Apr 29 10:11:34 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_link_color': '1D8BA1', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'BACAD4', 'profile_text_color': '1D1B1B', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/876785263011287040/cgUWlhF3_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/876785263011287040/cgUWlhF3_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/36327407/1589977541', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", more Covid cases in Rajasthan state tally reaches ,India,0.5,0.5,Positive
2020-05-26,"RT @MicrobesInfect: Novel Coronavirus article collection -

Virtual special issue with the latest research about the #SARSCoV2 #Coronavirus…","{'id': 1572428083, 'id_str': '1572428083', 'name': 'TYabanci', 'screen_name': 'turkiyeyabanci', 'location': 'Prague, Czech Republic', 'url': None, 'description': 'Investor in Czech Republic, Turkey, Romania, Thailand, Ukraine, Jordan, UAE. Live by rule ‘Go Big or Go Home’.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 468, 'friends_count': 768, 'listed_count': 9, 'favourites_count': 4262, 'statuses_count': 11003, 'created_at': 'Sat Jul 06 09:41:57 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1155155881643974656/3-X7KdgL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1155155881643974656/3-X7KdgL_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1572428083/1534238412', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", Novel Coronavirus article collection Virtual special issue with the latest research about the SARSCoV Coronavirus ,"Prague, Czech Republic",0.74,0.43,Positive
2020-05-26,RT @079Kal: The car being locked wasn’t a issue lol,"{'id': 621208811, 'id_str': '621208811', 'name': 'Voidman', 'screen_name': 'AtlasMoxx', 'location': 'AZ', 'url': None, 'description': 'Cynic.Sarcastic.Tired,crotchety old man trapped in a young-ish body.Scene music,YouTube,Xbox,Baseball,Wrestling,MMA', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1047, 'friends_count': 288, 'listed_count': 13, 'favourites_count': 521814, 'statuses_count': 88870, 'created_at': 'Thu Jun 28 18:38:24 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'DD2E44', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1240596330734424069/5unrJ2VZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1240596330734424069/5unrJ2VZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/621208811/1589961466', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Kal The car being locked wasn t a issue lol,AZ,0.7,0.8,Positive
2020-05-26,"RT @CNN: LATAM Airlines Group, the largest air carrier in Latin America, has filed for bankruptcy -- in large part due to the Covid-19 pand…","{'id': 1150177706904084480, 'id_str': '1150177706904084480', 'name': 'big tr33z', 'screen_name': 'treezmarley', 'location': 'Cinco Ranch, TX', 'url': 'http://chami.com', 'description': 'Glee', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 16, 'friends_count': 182, 'listed_count': 0, 'favourites_count': 1591, 'statuses_count': 758, 'created_at': 'Sat Jul 13 22:58:29 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1234887149318701056/lALKQTsM_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1234887149318701056/lALKQTsM_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1150177706904084480/1578371029', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}", LATAM Airlines Group the largest air carrier in Latin America has filed for bankruptcy in large part due to the Covid pand ,"Cinco Ranch, TX",0.4,0.04,Positive
